# Sprint 197 Python/CPython decorator semantic reference corpus (story bb5ee9f84a12).
# Reference behaviors, not source ports. See python-reference.md for prose and URLs.
# behavior	fixture	python_reference	python_semantic	dhnt_semantic
stack-order	tests/decorators/stack-order.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py test_order; https://docs.python.org/3/reference/compound_stmts.html#function-definitions	bottom-up application; outermost decorator runs first at call time	same observable order via a c *Call frame chain; no function object replacement
decorator-arguments	tests/decorators/arguments.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py test_argforms, test_eval_order	decorator expression and arguments evaluated once at def time	Bash# positional/keyword/default binding; arguments re-evaluated per invocation in the declaration's captured scope
dotted-names	tests/decorators/dotted-reserved.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py test_dotted	@ns.attr resolves an attribute chain at definition	@ns.name( parses (Class R) but is reserved; rejected at registration in the MVP
call-counting-state	tests/decorators/counting.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py countcalls helper, test_double	stateful decorator observes every call; decorator must be bound before def executes	same counting; per-call late resolution additionally allows declaring the decorator after the target
guard-failure	tests/decorators/guard-skip.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py dbcheck helper, test_dbcheck	failed precondition raises DbcheckError; body does not run	guard skips c.Next(): body skipped, zero results, Status as set by the decorator; no exceptions
recursion	tests/decorators/recursion.bpp	https://docs.python.org/3/reference/executionmodel.html#naming-and-binding	recursive calls resolve through the rebound name and re-enter the wrapper each level	chain re-enters on every level; decorator frames consume FUNCNEST and appear in FUNCNAME
unresolved-timing	tests/decorators/undefined-timing.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py test_errors	unresolved decorator name raises NameError while def executes	registration succeeds; first call fails EDECO-UNDEF with status 1 (per-call late resolution)
self-decoration-timing	tests/decorators/self-decoration.bpp	https://github.com/python/cpython/blob/v3.13.0/Lib/test/test_decorators.py test_errors (definition-time NameError family)	@self on def self fails only because the name is unbound at def time	EDECO-SELF rejected at registration by rule, independent of binding order
cycle-timing	tests/decorators/cycle.bpp	(no Python analogue: immediate application makes cycles inexpressible)	—	mutual decoration registers; EDECO-CYCLE at call time, before FUNCNEST
signature-timing	tests/decorators/signature.bpp	https://peps.python.org/pep-0318/ (any callable may decorate; misuse is a later TypeError)	arbitrary callables accepted at def	first parameter must be the predeclared *Call; otherwise EDECO-SIG when resolution finds it
near-miss-shapes	tests/decorators/near-miss-shell.bpp	(start-site law, umbrella F2; no Python analogue)	—	bare @t and @t() + compound command remain bash function/command territory in every mode
